dataset,path,label,class_name,split,source_id,target_id,donor_id,donor_seen_in_train,method
DFD,DFD_original sequences/01__exit_phone_room.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__hugging_happy.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__kitchen_pan.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__kitchen_still.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__meeting_serious.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__outside_talking_pan_laughing.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__outside_talking_still_laughing.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__podium_speech_happy.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__secret_conversation.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__talking_against_wall.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__talking_angry_couch.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__walk_down_hall_angry.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__walking_and_outside_surprised.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__walking_down_indoor_hall_disgust.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__walking_down_street_outside_angry.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/01__walking_outside_cafe_disgusted.mp4,1,real,test,DFD:01,01,,,real
DFD,DFD_original sequences/02__exit_phone_room.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__hugging_happy.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__kitchen_pan.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__kitchen_still.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__meeting_serious.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__outside_talking_pan_laughing.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__outside_talking_still_laughing.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__podium_speech_happy.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__secret_conversation.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__talking_against_wall.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__talking_angry_couch.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__walk_down_hall_angry.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__walking_and_outside_surprised.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__walking_down_indoor_hall_disgust.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__walking_down_street_outside_angry.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/02__walking_outside_cafe_disgusted.mp4,1,real,train,DFD:02,02,,,real
DFD,DFD_original sequences/03__exit_phone_room.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__hugging_happy.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__kitchen_pan.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__kitchen_still.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__meeting_serious.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__outside_talking_pan_laughing.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__outside_talking_still_laughing.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__podium_speech_happy.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__secret_conversation.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__talking_against_wall.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__talking_angry_couch.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__walk_down_hall_angry.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__walking_and_outside_surprised.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__walking_down_indoor_hall_disgust.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__walking_down_street_outside_angry.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/03__walking_outside_cafe_disgusted.mp4,1,real,train,DFD:03,03,,,real
DFD,DFD_original sequences/04__exit_phone_room.mp4,1,real,test,DFD:04,04,,,real
DFD,DFD_original sequences/04__kitchen_pan.mp4,1,real,test,DFD:04,04,,,real
DFD,DFD_original sequences/04__kitchen_still.mp4,1,real,test,DFD:04,04,,,real
DFD,DFD_original sequences/04__outside_talking_pan_laughing.mp4,1,real,test,DFD:04,04,,,real
DFD,DFD_original sequences/04__outside_talking_still_laughing.mp4,1,real,test,DFD:04,04,,,real
DFD,DFD_original sequences/04__podium_speech_happy.mp4,1,real,test,DFD:04,04,,,real
DFD,DFD_original sequences/04__secret_conversation.mp4,1,real,test,DFD:04,04,,,real
DFD,DFD_original sequences/04__talking_against_wall.mp4,1,real,test,DFD:04,04,,,real
DFD,DFD_original sequences/04__talking_angry_couch.mp4,1,real,test,DFD:04,04,,,real
DFD,DFD_original sequences/04__walk_down_hall_angry.mp4,1,real,test,DFD:04,04,,,real
DFD,DFD_original sequences/04__walking_down_street_outside_angry.mp4,1,real,test,DFD:04,04,,,real
DFD,DFD_original sequences/04__walking_outside_cafe_disgusted.mp4,1,real,test,DFD:04,04,,,real
DFD,DFD_original sequences/05__exit_phone_room.mp4,1,real,val,DFD:05,05,,,real
DFD,DFD_original sequences/05__hugging_happy.mp4,1,real,val,DFD:05,05,,,real
DFD,DFD_original sequences/05__kitchen_pan.mp4,1,real,val,DFD:05,05,,,real
DFD,DFD_original sequences/05__kitchen_still.mp4,1,real,val,DFD:05,05,,,real
DFD,DFD_original sequences/05__outside_talking_pan_laughing.mp4,1,real,val,DFD:05,05,,,real
DFD,DFD_original sequences/05__outside_talking_still_laughing.mp4,1,real,val,DFD:05,05,,,real
DFD,DFD_original sequences/05__podium_speech_happy.mp4,1,real,val,DFD:05,05,,,real
DFD,DFD_original sequences/05__talking_against_wall.mp4,1,real,val,DFD:05,05,,,real
DFD,DFD_original sequences/05__walk_down_hall_angry.mp4,1,real,val,DFD:05,05,,,real
DFD,DFD_original sequences/05__walking_down_street_outside_angry.mp4,1,real,val,DFD:05,05,,,real
DFD,DFD_original sequences/05__walking_outside_cafe_disgusted.mp4,1,real,val,DFD:05,05,,,real
DFD,DFD_original sequences/06__exit_phone_room.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/06__hugging_happy.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/06__kitchen_pan.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/06__kitchen_still.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/06__outside_talking_pan_laughing.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/06__outside_talking_still_laughing.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/06__podium_speech_happy.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/06__talking_against_wall.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/06__talking_angry_couch.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/06__walk_down_hall_angry.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/06__walking_and_outside_surprised.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/06__walking_down_indoor_hall_disgust.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/06__walking_down_street_outside_angry.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/06__walking_outside_cafe_disgusted.mp4,1,real,train,DFD:06,06,,,real
DFD,DFD_original sequences/07__exit_phone_room.mp4,1,real,train,DFD:07,07,,,real
